中文	繁體	英文	拼音	领域	适用法域	来源地区	类型	来源语境	学习注释	来源记录	条目ID	数据许可	译文审核	中文释义	译法说明	法律依据
台湾台南地方法院新市简易庭	臺灣臺南地方法院新市簡易庭	Taiwan Tainan District Court Xinshi Summary Court	tai2 wan1 tai2 nan2 di4 fang1 fa3 yuan4 xin1 shi4 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1754	tw-judicial-6f019e448fa86532b35f	OGDL-Taiwan-1.0	source_attributed			
台湾台南地方法院柳营简易庭	臺灣臺南地方法院柳營簡易庭	Taiwan Tainan District Court Liuying Summary Court	tai2 wan1 tai2 nan2 di4 fang1 fa3 yuan4 liu3 ying2 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1753	tw-judicial-cd92aa1b682f621abf61	OGDL-Taiwan-1.0	source_attributed			
台湾嘉义地方法院	臺灣嘉義地方法院	Taiwan Chiayi District Court	tai2 wan1 jia1 yi4 di4 fang1 fa3 yuan4	dispute_resolution	待核查	TW	institution	司法行政廳		tw-judicial:1735	tw-judicial-bdd4685e0062f775637f	OGDL-Taiwan-1.0	source_attributed			
台湾嘉义地方法院嘉义简易庭	臺灣嘉義地方法院嘉義簡易庭	Taiwan Chiayi District Court Chiayi Summary Court	tai2 wan1 jia1 yi4 di4 fang1 fa3 yuan4 jia1 yi4 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1737	tw-judicial-e204cc5509fe9ead8cb7	OGDL-Taiwan-1.0	source_attributed			
台湾嘉义地方法院朴子简易庭	臺灣嘉義地方法院朴子簡易庭	Taiwan Chiayi District Court Puzi Summary Court	tai2 wan1 jia1 yi4 di4 fang1 fa3 yuan4 pu3 zi5 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1736	tw-judicial-cd49c605a994e732bd70	OGDL-Taiwan-1.0	source_attributed			
台湾地区与大陆地区人民关系条例	臺灣地區與大陸地區人民關係條例	Act Governing Relations between the People of the Taiwan Area and the Mainland Area	tai2 wan1 di4 qu1 yu3 da4 lu4 di4 qu1 ren2 min2 guan1 xi4 tiao2 li4	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:1688	tw-judicial-99c58d3e94193d9d2087	OGDL-Taiwan-1.0	source_attributed			
台湾基隆地方法院	臺灣基隆地方法院	Taiwan Keelung District Court	tai2 wan1 ji1 long2 di4 fang1 fa3 yuan4	dispute_resolution	待核查	TW	institution	司法行政廳		tw-judicial:1721	tw-judicial-034e2e900a5a5a5dab30	OGDL-Taiwan-1.0	source_attributed			
台湾基隆地方法院基隆简易庭	臺灣基隆地方法院基隆簡易庭	Taiwan Keelung District Court Keelung Summary Court	tai2 wan1 ji1 long2 di4 fang1 fa3 yuan4 ji1 long2 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1722	tw-judicial-5af94d7a8933884465ff	OGDL-Taiwan-1.0	source_attributed			
台湾基隆地方法院瑞芳简易庭	臺灣基隆地方法院瑞芳簡易庭	Taiwan Keelung District Court Ruifang Summary Court	tai2 wan1 ji1 long2 di4 fang1 fa3 yuan4 rui4 fang1 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1723	tw-judicial-f88ac29a432961d973ae	OGDL-Taiwan-1.0	source_attributed			
台湾士林地方法院	臺灣士林地方法院	Taiwan Shilin District Court	tai2 wan1 shi4 lin2 di4 fang1 fa3 yuan4	dispute_resolution	待核查	TW	institution	司法行政廳		tw-judicial:1685	tw-judicial-2defdeced3d5b9b56ab1	OGDL-Taiwan-1.0	source_attributed			
台湾士林地方法院内湖简易庭	臺灣士林地方法院內湖簡易庭	Taiwan Shilin District Court Neihu Summary Court	tai2 wan1 shi4 lin2 di4 fang1 fa3 yuan4 nei4 hu2 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1687	tw-judicial-c70f2d8f32ab8f8cc373	OGDL-Taiwan-1.0	source_attributed			
台湾士林地方法院士林简易庭	臺灣士林地方法院士林簡易庭	Taiwan Shilin District Court Shilin Summary Court	tai2 wan1 shi4 lin2 di4 fang1 fa3 yuan4 shi4 lin2 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1686	tw-judicial-c615f93cca339e8315da	OGDL-Taiwan-1.0	source_attributed			
台湾宜兰地方法院	臺灣宜蘭地方法院	Taiwan Yilan District Court	tai2 wan1 yi2 lan2 di4 fang1 fa3 yuan4	dispute_resolution	待核查	TW	institution	司法行政廳		tw-judicial:1689	tw-judicial-bfebeeae9311edaae9c0	OGDL-Taiwan-1.0	source_attributed			
台湾宜兰地方法院宜兰简易庭	臺灣宜蘭地方法院宜蘭簡易庭	Taiwan Yilan District Court Yilan Summary Court	tai2 wan1 yi2 lan2 di4 fang1 fa3 yuan4 yi2 lan2 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1690	tw-judicial-644300da28d27496520d	OGDL-Taiwan-1.0	source_attributed			
台湾宜兰地方法院罗东简易庭	臺灣宜蘭地方法院羅東簡易庭	Taiwan Yilan District Court Luodong Summary Court	tai2 wan1 yi2 lan2 di4 fang1 fa3 yuan4 luo2 dong1 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1691	tw-judicial-0d615c8782e4dce6645e	OGDL-Taiwan-1.0	source_attributed			
台湾屏东地方法院	臺灣屏東地方法院	Taiwan Pingtung District Court	tai2 wan1 ping2 dong1 di4 fang1 fa3 yuan4	dispute_resolution	待核查	TW	institution	司法行政廳		tw-judicial:1699	tw-judicial-a6f48f9e1340e666682b	OGDL-Taiwan-1.0	source_attributed			
台湾屏东地方法院屏东简易庭	臺灣屏東地方法院屏東簡易庭	Taiwan Pingtung District Court Pingtung Summary Court	tai2 wan1 ping2 dong1 di4 fang1 fa3 yuan4 ping2 dong1 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1700	tw-judicial-e4062cdbc65b2c240d8a	OGDL-Taiwan-1.0	source_attributed			
台湾屏东地方法院潮州简易庭	臺灣屏東地方法院潮州簡易庭	Taiwan Pingtung District Court Chaozhou Summary Court	tai2 wan1 ping2 dong1 di4 fang1 fa3 yuan4 chao2 zhou1 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1701	tw-judicial-2c450890f5f07a9fb1d5	OGDL-Taiwan-1.0	source_attributed			
台湾彰化地方法院	臺灣彰化地方法院	Taiwan Changhua District Court	tai2 wan1 zhang1 hua4 di4 fang1 fa3 yuan4	dispute_resolution	待核查	TW	institution	司法行政廳		tw-judicial:1738	tw-judicial-dc4af541b1bb99bc94eb	OGDL-Taiwan-1.0	source_attributed			
台湾彰化地方法院北斗简易庭	臺灣彰化地方法院北斗簡易庭	Taiwan Changhua District Court Beidou Summary Court	tai2 wan1 zhang1 hua4 di4 fang1 fa3 yuan4 bei3 dou3 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1739	tw-judicial-0fd1ef647240cb9d3038	OGDL-Taiwan-1.0	source_attributed			
台湾彰化地方法院员林简易庭	臺灣彰化地方法院員林簡易庭	Taiwan Changhua District Court Yuanlin Summary Court	tai2 wan1 zhang1 hua4 di4 fang1 fa3 yuan4 yuan2 lin2 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1740	tw-judicial-82d1301c2e67c6f60f45	OGDL-Taiwan-1.0	source_attributed			
台湾彰化地方法院彰化简易庭	臺灣彰化地方法院彰化簡易庭	Taiwan Changhua District Court Changhua Summary Court	tai2 wan1 zhang1 hua4 di4 fang1 fa3 yuan4 zhang1 hua4 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1741	tw-judicial-1b074c0b3de41945b235	OGDL-Taiwan-1.0	source_attributed			
台湾新北地方法院	臺灣新北地方法院	Taiwan New Taipei District Court	tai2 wan1 xin1 bei3 di4 fang1 fa3 yuan4	dispute_resolution	待核查	TW	institution	司法行政廳		tw-judicial:1728	tw-judicial-02bfa173584089bde18c	OGDL-Taiwan-1.0	source_attributed			
台湾新北地方法院三重简易庭	臺灣新北地方法院三重簡易庭	Taiwan New Taipei District Court Sanchong Summary Court	tai2 wan1 xin1 bei3 di4 fang1 fa3 yuan4 san1 chong2 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1729	tw-judicial-da3371dde55cc3ca00a9	OGDL-Taiwan-1.0	source_attributed			
台湾新北地方法院板桥简易庭	臺灣新北地方法院板橋簡易庭	Taiwan New Taipei District Court Banqiao Summary Court	tai2 wan1 xin1 bei3 di4 fang1 fa3 yuan4 ban3 qiao2 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1730	tw-judicial-064f73678fc6e0ed5428	OGDL-Taiwan-1.0	source_attributed			
台湾新竹地方法院	臺灣新竹地方法院	Taiwan Hsinchu District Court	tai2 wan1 xin1 zhu2 di4 fang1 fa3 yuan4	dispute_resolution	待核查	TW	institution	司法行政廳		tw-judicial:1731	tw-judicial-b5c234dbcf9741e1a3c8	OGDL-Taiwan-1.0	source_attributed			
台湾新竹地方法院新竹简易庭	臺灣新竹地方法院新竹簡易庭	Taiwan Hsinchu District Court Hsinchu Summary Court	tai2 wan1 xin1 zhu2 di4 fang1 fa3 yuan4 xin1 zhu2 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1734	tw-judicial-c53e57a818c5760c8963	OGDL-Taiwan-1.0	source_attributed			
台湾新竹地方法院竹东简易庭	臺灣新竹地方法院竹東簡易庭	Taiwan Hsinchu District Court Zhudong Summary Court	tai2 wan1 xin1 zhu2 di4 fang1 fa3 yuan4 zhu2 dong1 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1733	tw-judicial-0c76d6b573c0d552758d	OGDL-Taiwan-1.0	source_attributed			
台湾新竹地方法院竹北简易庭	臺灣新竹地方法院竹北簡易庭	Taiwan Hsinchu District Court Zhubei Summary Court	tai2 wan1 xin1 zhu2 di4 fang1 fa3 yuan4 zhu2 bei3 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1732	tw-judicial-b185b61cc3b0090dd203	OGDL-Taiwan-1.0	source_attributed			
台湾桃园地方法院	臺灣桃園地方法院	Taiwan Taoyuan District Court	tai2 wan1 tao2 yuan2 di4 fang1 fa3 yuan4	dispute_resolution	待核查	TW	institution	司法行政廳		tw-judicial:1705	tw-judicial-965bc0ba2a6ea6ade85a	OGDL-Taiwan-1.0	source_attributed			
台湾桃园地方法院中坜简易庭	臺灣桃園地方法院中壢簡易庭	Taiwan Taoyuan District Court Zhongli Summary Court	tai2 wan1 tao2 yuan2 di4 fang1 fa3 yuan4 zhong1 li4 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1706	tw-judicial-937df590690f2cbb9b9c	OGDL-Taiwan-1.0	source_attributed			
台湾桃园地方法院桃园简易庭	臺灣桃園地方法院桃園簡易庭	Taiwan Taoyuan District Court Taoyuan Summary Court	tai2 wan1 tao2 yuan2 di4 fang1 fa3 yuan4 tao2 yuan2 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1707	tw-judicial-372ee438b7bb54c8d41c	OGDL-Taiwan-1.0	source_attributed			
台湾桥头地方法院	臺灣橋頭地方法院	Taiwan Ciaotou District Court	tai2 wan1 qiao2 tou2 di4 fang1 fa3 yuan4	dispute_resolution	待核查	TW	institution	司法行政廳		tw-judicial:1758	tw-judicial-2cf844e8b754b3fe82da	OGDL-Taiwan-1.0	source_attributed			
台湾澎湖地方法院	臺灣澎湖地方法院	Taiwan Penghu District Court	tai2 wan1 peng1 hu2 di4 fang1 fa3 yuan4	dispute_resolution	待核查	TW	institution	司法行政廳		tw-judicial:1756	tw-judicial-f5991b09da9095a80235	OGDL-Taiwan-1.0	source_attributed			
台湾澎湖地方法院马公简易庭	臺灣澎湖地方法院馬公簡易庭	Taiwan Penghu District Court Magong Summary Court	tai2 wan1 peng1 hu2 di4 fang1 fa3 yuan4 ma3 gong1 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1757	tw-judicial-f2fcf72336bee094fb3f	OGDL-Taiwan-1.0	source_attributed			
台湾省工厂工人退休规则	台灣省工廠工人退休規則	Regulations Governing the Retirement of the Factory Workers of Taiwan Province	tai2 wan1 sheng3 gong1 chang3 gong1 ren2 tui4 xiu1 gui1 ze2	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:324	tw-judicial-40e3c103ee14345d16fb	OGDL-Taiwan-1.0	source_attributed			
台湾省放领公有耕地扶植自耕农实施要点	台灣省放領公有耕地扶植自耕農實施要點	Implemental Guidelines for the Release of Government-Owned Tillable Land to Self-tilling Farmers in Taiwan Province	tai2 wan1 sheng3 fang4 ling3 gong1 you3 geng1 di4 fu2 zhi2 zi4 geng1 nong2 shi2 shi1 yao4 dian3	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:325	tw-judicial-e7ff0fb8f2b824df23a0	OGDL-Taiwan-1.0	source_attributed			
台湾省林务局	臺灣省林務局	Taiwan Forestry Bureau	tai2 wan1 sheng3 lin2 wu4 ju2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1702	tw-judicial-11d771bc62612f459c8e	OGDL-Taiwan-1.0	source_attributed			
台湾省烟酒专卖暂行条例	台灣省菸酒專賣暫行條例	Provisional Act Governing the Monopolistic Sale on Cigarettes and Wines in Taiwan Province	tai2 wan1 sheng3 yan1 jiu3 zhuan1 mai4 zan4 xing2 tiao2 li4	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:329	tw-judicial-a5c39c2c943d8b37b289	OGDL-Taiwan-1.0	source_attributed			
台湾省烟酒公卖局	台灣省菸酒公賣局	Taiwan Tobacco and Wine Monopoly Bureau	tai2 wan1 sheng3 yan1 jiu3 gong1 mai4 ju2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:328	tw-judicial-dcc32a8049475a845d5c	OGDL-Taiwan-1.0	source_attributed			
台湾省省县市立各级学校教职员遴用办法	台灣省省縣市立各級學校教職員遴用辦法	Regulations Governing the Selection of the Teachers and Staff for Provincial, County and Municipal Level Schools in Taiwan Province	tai2 wan1 sheng3 sheng3 xian4 shi4 li4 ge4 ji2 xue2 xiao4 jiao4 zhi2 yuan2 lin2 yong4 ban4 fa3	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:327	tw-judicial-fcd1d5a95e59c8b4a7f0	OGDL-Taiwan-1.0	source_attributed			
台湾省非都市土地容许使用执行要点	台灣省非都市土地容許使用執行要點	Enforcement Guidelines for the Use Permission of Non-Urban Land of Taiwan Province	tai2 wan1 sheng3 fei1 du1 shi4 tu3 di4 rong2 xu3 shi3 yong4 zhi2 xing2 yao4 dian3	property	待核查	TW	statute	憲法法庭書記廳		tw-judicial:326	tw-judicial-334dbec52b414f9ce3e7	OGDL-Taiwan-1.0	source_attributed			
台湾花莲地方法院	臺灣花蓮地方法院	Taiwan Hualien District Court	tai2 wan1 hua1 lian2 di4 fang1 fa3 yuan4	dispute_resolution	待核查	TW	institution	司法行政廳		tw-judicial:1692	tw-judicial-6596ae7521a93fcd5802	OGDL-Taiwan-1.0	source_attributed			
台湾花莲地方法院凤林简易庭	臺灣花蓮地方法院鳳林簡易庭	Taiwan Hualien District Court Fenglin Summary Court	tai2 wan1 hua1 lian2 di4 fang1 fa3 yuan4 feng4 lin2 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1695	tw-judicial-266ad4a25291f4ef1da8	OGDL-Taiwan-1.0	source_attributed			
台湾花莲地方法院玉里简易庭	臺灣花蓮地方法院玉里簡易庭	Taiwan Hualien District Court Yuli Summary Court	tai2 wan1 hua1 lian2 di4 fang1 fa3 yuan4 yu4 li3 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1693	tw-judicial-0581538074503d777497	OGDL-Taiwan-1.0	source_attributed			
台湾花莲地方法院花莲简易庭	臺灣花蓮地方法院花蓮簡易庭	Taiwan Hualien District Court Hualien Summary Court	tai2 wan1 hua1 lian2 di4 fang1 fa3 yuan4 hua1 lian2 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1694	tw-judicial-a2982a26e232de3002ca	OGDL-Taiwan-1.0	source_attributed			
台湾苗栗地方法院	臺灣苗栗地方法院	Taiwan Miaoli District Court	tai2 wan1 miao2 li4 di4 fang1 fa3 yuan4	dispute_resolution	待核查	TW	institution	司法行政廳		tw-judicial:1703	tw-judicial-6664b54b7e3541c8f4ff	OGDL-Taiwan-1.0	source_attributed			
台湾苗栗地方法院苗栗简易庭	臺灣苗栗地方法院苗栗簡易庭	Taiwan Miaoli District Court Miaoli Summary Court	tai2 wan1 miao2 li4 di4 fang1 fa3 yuan4 miao2 li4 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1704	tw-judicial-180effdfda9a8b745550	OGDL-Taiwan-1.0	source_attributed			
台湾高等法院	臺灣高等法院	Taiwan High Court	tai2 wan1 gao1 deng3 fa3 yuan4	dispute_resolution	待核查	TW	institution	司法行政廳		tw-judicial:1708	tw-judicial-7eac035b8c5691dcfbff	OGDL-Taiwan-1.0	source_attributed			
台湾高等法院台中分院	臺灣高等法院臺中分院	Taiwan High Court Taichung Branch Court	tai2 wan1 gao1 deng3 fa3 yuan4 tai2 zhong1 fen1 yuan4	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1713	tw-judicial-e989312945473a3f11c4	OGDL-Taiwan-1.0	source_attributed			
台湾高等法院台南分院	臺灣高等法院臺南分院	Taiwan High Court Tainan Branch Court	tai2 wan1 gao1 deng3 fa3 yuan4 tai2 nan2 fen1 yuan4	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1714	tw-judicial-f8bb1a3239b9d9c1cfa4	OGDL-Taiwan-1.0	source_attributed			
台湾高等法院花莲分院	臺灣高等法院花蓮分院	Taiwan High Court Hualien Branch Court	tai2 wan1 gao1 deng3 fa3 yuan4 hua1 lian2 fen1 yuan4	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1709	tw-judicial-88cde60d1efd3d7befbf	OGDL-Taiwan-1.0	source_attributed			
台湾高等法院花莲分院台东庭	臺灣高等法院花蓮分院臺東庭	Taiwan High Court Hualien Branch Taitung Division	tai2 wan1 gao1 deng3 fa3 yuan4 hua1 lian2 fen1 yuan4 tai2 dong1 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1710	tw-judicial-71a00f2295a100dfc762	OGDL-Taiwan-1.0	source_attributed			
台湾高等法院高雄分院	臺灣高等法院高雄分院	Taiwan High Court Kaohsiung Branch Court	tai2 wan1 gao1 deng3 fa3 yuan4 gao1 xiong2 fen1 yuan4	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1711	tw-judicial-6d94c035abbc28a4f684	OGDL-Taiwan-1.0	source_attributed			
台湾高等法院高雄分院澎湖庭	臺灣高等法院高雄分院澎湖庭	Taiwan High Court Kaohsiung Branch Penghu Division	tai2 wan1 gao1 deng3 fa3 yuan4 gao1 xiong2 fen1 yuan4 peng1 hu2 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1712	tw-judicial-8420b33dfa02d1082f90	OGDL-Taiwan-1.0	source_attributed			
台湾高雄地方法院	臺灣高雄地方法院	Taiwan Kaohsiung District Court	tai2 wan1 gao1 xiong2 di4 fang1 fa3 yuan4	dispute_resolution	待核查	TW	institution	司法行政廳		tw-judicial:1716	tw-judicial-f743bbe6af04c4cccb27	OGDL-Taiwan-1.0	source_attributed			
台湾高雄地方法院冈山简易庭	臺灣高雄地方法院岡山簡易庭	Taiwan Kaohsiung District Court Gangshan Summary Court	tai2 wan1 gao1 xiong2 di4 fang1 fa3 yuan4 gang1 shan1 jian3 yi4 ting2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:1717	tw-judicial-51402b5fdafdb4b69b9d	OGDL-Taiwan-1.0	source_attributed			
